Cities,Latitude,Longitude,AQI Index (PM 2.5)
Hyderabad,17.385,78.4867,120
Itanagar,27.0844,93.6053,72
Dispur,26.1433,91.7898,91
Patna,25.5941,85.1376,160
Raipur,21.2514,81.6296,130
Panaji,15.4909,73.8278,48
Gandhinagar,23.2156,72.6369,120
Chandigarh,30.7333,76.7794,105
Shimla,31.1048,77.1734,101
Srinagar,34.0837,74.7973,104
Ranchi,,85.3096,127
Bengaluru,12.9716,77.5946,132
Trivandrum,8.5241,76.9366,89
Bhopal,23.2599,77.4126,159
Mumbai,19.076,72.8777,101
Imphal,24.817,93.9368,80
Shillong,25.5788,91.8933,83
Aizawl,25.5788,91.8933,91
Kohima,25.6751,94.1086,64
Bhubaneswar,20.2961,85.8245,85
Jaipur,26.9124,75.7873,117
Gangtok,27.3314,88.6138,80
Chennai,13.0827,80.2707,80
Agartala,23.8315,91.2868,127
Lucknow,26.8467,80.9462,153
Dehradun,30.3165,78.0322,87
Kolkata,22.5726,88.3639,162
Delhi,28.7041,77.1025,180
Jammu,32.7266,74.857,110
Puducherry,11.9416,79.8083,57
Lakshadweep,10.5593,72.6358,54
Andaman and Nicobar Islands,11.7401,92.6586,19.3
Dadar and Nagar Haveli,20.1809,73.0169,118
Daman and Diu,20.3974,72.8328,105
Ladakh,34.2268,77.5619,17
