STATE,LONGITUDE,LATITUDE,YEAR,AREA,
Andaman and Nicobar Islands,92.6586401,11.7400867,01-01-1987,"7,601",15610
Andaman and Nicobar Islands,92.6586401,11.7400867,01-01-1989,"7,622",17292
Andaman and Nicobar Islands,92.6586401,11.7400867,01-01-1991,"7,622",19984
Andaman and Nicobar Islands,92.6586401,11.7400867,01-01-1993,"7,624",14178
Andaman and Nicobar Islands,92.6586401,11.7400867,01-01-1995,"7,615",12082
Andaman and Nicobar Islands,92.6586401,11.7400867,01-01-1997,"7,613",12017
Andaman and Nicobar Islands,92.6586401,11.7400867,01-01-1999,"7,606",19384
Andaman and Nicobar Islands,92.6586401,11.7400867,01-01-2001,"6,930",15896
Andaman and Nicobar Islands,92.6586401,11.7400867,01-01-2003,"6,964",15393
Andaman and Nicobar Islands,92.6586401,11.7400867,01-01-2005,"6,629",11920
Andaman and Nicobar Islands,92.6586401,11.7400867,01-01-2007,"6,662",10033
Andaman and Nicobar Islands,92.6586401,11.7400867,01-01-2011,"6,724",18307
Andaman and Nicobar Islands,92.6586401,11.7400867,01-01-2013,"6,711",12714
Andhra Pradesh,79.7399875,15.9128998,01-01-1987,"49,573",54443843
Andhra Pradesh,79.7399875,15.9128998,01-01-1989,"47,290",51126301
Andhra Pradesh,79.7399875,15.9128998,01-01-1991,"47,290",51647932
Andhra Pradesh,79.7399875,15.9128998,01-01-1993,"47,256",53560865
Andhra Pradesh,79.7399875,15.9128998,01-01-1995,"47,112",50173976
Andhra Pradesh,79.7399875,15.9128998,01-01-1997,"43,290",51047006
Andhra Pradesh,79.7399875,15.9128998,01-01-1999,"44,229",50518157
Andhra Pradesh,79.7399875,15.9128998,01-01-2001,"44,637",54435191
Andhra Pradesh,79.7399875,15.9128998,01-01-2003,"44,419",49871279
Andhra Pradesh,79.7399875,15.9128998,01-01-2005,"44,372",51556343
Andhra Pradesh,79.7399875,15.9128998,01-01-2007,"45,102",54069744
Andhra Pradesh,79.7399875,15.9128998,01-01-2011,"46,389",51365210
Andhra Pradesh,79.7399875,15.9128998,01-01-2013,"46,116",52668930
Arunachal Pradesh,94.7277528,28.2179994,01-01-1987,"64,132",1608878
Arunachal Pradesh,94.7277528,28.2179994,01-01-1989,"69,002",1580395
Arunachal Pradesh,94.7277528,28.2179994,01-01-1991,"68,757",1699306
Arunachal Pradesh,94.7277528,28.2179994,01-01-1993,"68,661",1691086
Arunachal Pradesh,94.7277528,28.2179994,01-01-1995,"68,621",1660928
Arunachal Pradesh,94.7277528,28.2179994,01-01-1997,"68,602",1724268
Arunachal Pradesh,94.7277528,28.2179994,01-01-1999,"68,847",1638635
Arunachal Pradesh,94.7277528,28.2179994,01-01-2001,"68,045",1573056
Arunachal Pradesh,94.7277528,28.2179994,01-01-2003,"68,019",1628401
Arunachal Pradesh,94.7277528,28.2179994,01-01-2005,"67,777",1726455
Arunachal Pradesh,94.7277528,28.2179994,01-01-2007,"67,353",1712524
Arunachal Pradesh,94.7277528,28.2179994,01-01-2011,"67,410",1625661
Arunachal Pradesh,94.7277528,28.2179994,01-01-2013,"67,321",1611620
Assam,92.9375739,26.2006043,01-01-1987,"25,160",36608978
Assam,92.9375739,26.2006043,01-01-1989,"24,832",36025432
Assam,92.9375739,26.2006043,01-01-1991,"24,751",35765501
Assam,92.9375739,26.2006043,01-01-1993,"24,508",37135719
Assam,92.9375739,26.2006043,01-01-1995,"24,061",37209404
Assam,92.9375739,26.2006043,01-01-1997,"23,824",37309517
Assam,92.9375739,26.2006043,01-01-1999,"23,688",36411835
Assam,92.9375739,26.2006043,01-01-2001,"27,714",36507117
Assam,92.9375739,26.2006043,01-01-2003,"27,826",36560092
Assam,92.9375739,26.2006043,01-01-2005,"27,645",37357075
Assam,92.9375739,26.2006043,01-01-2007,"27,692",35853503
Assam,92.9375739,26.2006043,01-01-2011,"27,673",37169263
Assam,92.9375739,26.2006043,01-01-2013,"27,671",37138489
Bihar,85.3131194,25.0960742,01-01-1987,"28,482",125912422
Bihar,85.3131194,25.0960742,01-01-1989,"26,668",126895761
Bihar,85.3131194,25.0960742,01-01-1991,"26,668",125571989
Bihar,85.3131194,25.0960742,01-01-1993,"26,587",128174280
Bihar,85.3131194,25.0960742,01-01-1995,"26,561",125685712
Bihar,85.3131194,25.0960742,01-01-1997,"4,832",133402663
Bihar,85.3131194,25.0960742,01-01-1999,"4,830",135677131
Bihar,85.3131194,25.0960742,01-01-2001,"5,720",124816219
Bihar,85.3131194,25.0960742,01-01-2003,"5,558",135972262
Bihar,85.3131194,25.0960742,01-01-2005,"5,579",127667174
Bihar,85.3131194,25.0960742,01-01-2007,"6,804",134721178
Bihar,85.3131194,25.0960742,01-01-2011,"6,845",126414582
Bihar,85.3131194,25.0960742,01-01-2013,"7,291",131279690
Chandigarh,76.7794179,30.7333148,01-01-1987,2,1167357
