Location,2001-population,2011-population
Kokrajhar,843242,887142
Dhubri,1566396,1949528
Goalpara,822035,1008183
Barpeta,1394755,1693622
Morigaon,776256,957423
Nagaon,2314629,2823768
Sonitpur,1665125,1924110
Lakhimpur,889010,1042137
Dhemaji,571944,686133
Tinsukia,1150062,1327929
Dibrugarh,1185072,1326335
Sivasagar,1051736,1151050
Jorhat,999221,1092256
Golaghat,946279,1066888
Karbi Anglong,813311,956313
Dima Hasao,188079,214102
Cachar,1444921,1736517
Karimganj,1007976,1228686
Hailakandi,542872,659296
Bongaigaon,612665,738804
Chirang,433061,482162
Kamrup,1311698,1517542
Kamrup Metropolitan,1059578,1253938
Nalbari,689053,771639
Baksa,857947,950075
Darrang,759858,928500
Udalguri,758746,831668
