Location,2001-population,2011-population
Sheopur,559495,687861
Morena,1592714,1965970
Bhind,1428559,1703005
Gwalior,1632109,2032036
Datia,664159,786754
Shivpuri,1406031,1726050
Tikamgarh,1202998,1445166
Chhatarpur,1474723,1762375
Panna,856558,1016520
Sagar,2021987,2378458
Damoh,1083949,1264219
Satna,1870104,2228935
Rewa,1973306,2365106
Umaria,515963,644758
Neemuch,726070,826067
Mandsaur,1183724,1340411
Ratlam,1215393,1455069
Ujjain,1710982,1986864
Shajapur,1290685,1512681
Dewas,1308223,1563715
Dhar,1740329,2185793
Indore,2465827,3276697
Khargone (West Nimar),1524637,1873046
Barwani,1086366,1385881
Rajgarh,1254085,1545814
Vidisha,1214857,1458875
Bhopal,1843510,2371061
Sehore,1078912,1311332
Raisen,1125154,1331597
Betul,1395175,1575362
Harda,474416,570465
Hoshangabad,1084265,1241350
Katni,1064167,1292042
Jabalpur,2151203,2463289
Narshimhapur,957646,1091854
Dindori,580730,704524
Mandla,894236,1054905
Chhindwara,1849283,2090922
Seoni,1166608,1379131
Balaghat,1497968,1701698
Guna,977827,1241519
Ashoknagar,688940,845071
Shahdol,908148,1066063
Anuppur,667155,749237
Sidhi,910983,1127033
Singrauli,920169,1178273
Jhabua,784286,1025048
Alirajpur,610275,728999
Khandwa (East Nimar),1078251,1310061
Burhanpur,634883,757847
