Location,2001-population,2011-population
Adilabad,2488003,2741239
Nizamabad,2345685,2551335
Karimnagar,3491822,3776269
Medak,2670097,3033288
Hyderabad,3829753,3943323
Rangareddy,3575064,5296741
Mahbubnagar,3513934,4053028
Nalgonda,3247982,3488809
Warangal,3246004,2578927
khammam,2578927,2797370
Srikakulam,2537593,2703114
Vizianagaram,2249254,2344474
Visakhapatnam,3832336,4290589
East Godavari,4901420,5154296
West Godavari,3803517,3936966
Krishna,4187841,4517398
Guntur,4465144,4887813
Prakasam,3059423,3397448
Sri Potti Sriramulu Nellore,2668564,2963557
Y.S.R.,2601797,2882469
Kurnool,3529494,4053463
Anantapur,3640478,4081148
Chittoor,3745875,4174064
