Location,2001-population,2011-population
Thiruvallur,2754756,3728104
Chennai,4343645,4646732
Kancheepuram,2877468,3998252
Vellore,3477317,3936331
Tiruvannamalai,2186125,2464875
Viluppuram,2960373,3458873
Salem,3016343,3482056
Namakkal,1493462,1726601
Erode,2016582,2251744
The Nilgiris,762141,735394
Dindigul,1923014,2159775
Karur,935686,1064493
Tiruchirappalli,2418366,2722290
Perambalur,493646,565223
Ariyalur,695524,754894
Cuddalore,2285395,2605914
Nagapattinam,1488839,1616450
Thiruvarur,1169474,1264277
Thanjavur,2216138,2405890
Pudukkottai,1459601,1618345
Sivaganga,1155356,1339101
Madurai,2578201,3038252
Theni,1093950,1245899
Virudhunagar,1751301,1942288
Ramanathapuram,1187604,1353445
Thoothukkudi,1592769,1750176
Tirunelveli,2703492,3077233
Kanniyakumari,1676034,1870374
Dharmapuri,1295182,1506843
Krishnagiri,1561118,1879809
Tiruppur,1920154,2479052
