Location2,Change
Kupwara,33.82
Badgam,24.14
Leh (Ladakh),13.87
Kargil,18.02
Punch,27.97
Rajouri,32.93
Kathua,20.53
Baramula,19.45
Bandipore,28.65
Srinagar,20.35
Ganderbal,36.50
Pulwama,27.00
Shupiyan,25.97
Anantnag,38.58
Kulgam,7.73
Doda,28.00
Ramban,31.99
Kishtwar,20.88
Udhampur,20.78
Reasi,27.04
Jammu,12.74
Samba,17.01
Chamba,12.63
Kangra,12.77
 Lahul & Spiti,-5.00
Kullu,14.76
Mandi,10.92
Hamirpur,10.19
Una,16.26
Bilaspur,12.05
Solan,15.93
Sirmaur,15.54
Shimla,12.67
Kinnaur,7.39
Gurdaspur,9.26
Kapurthala,13.98
Jalandhar,11.76
Hoshiarpur,7.11
Shahid ,19.52
Fatehgarh Sahib,11.46
Ludhiana,47.23
Moga,11.28
Firozpur,6.90
Muktsar,11.39
Faridkot,13.58
Bathinda,12.78
Mansa,13.47
Patiala,19.62
Amritsar,15.47
Tarn Taran,19.23
Rupnagar,8.87
Sahibzada Ajit Singh Nagar,33.15
Sangrur,12.35
Barnala,13.02
Chandigarh,17.19
Uttarkashi,11.89
Chamoli,5.74
Rudraprayag,6.53
Tehri Garhwal,2.35
Dehradun,32.33
Garhwal,-1.41
Pithoragarh,4.58
Bageshwar,5.15
Almora,-1.64
Champawat,15.63
Nainital,25.13
Udham Singh Nagar,33.45
Hardwar,30.63
Panchkula,19.83
Ambala,11.23
Yamunanagar,16.57
Kurukshetra,16.86
Kaithal,13.55
Karnal,18.14
Panipat,24.60
Sonipat,13.35
Jind,12.13
Fatehabad,16.85
Sirsa,15.99
Hisar,13.45
Bhiwani,14.70
Rohtak,12.88
Jhajjar,8.90
Mahendragarh,13.48
Rewari,17.64
Gurgaon,73.14
Mewat,38.65
Faridabad,32.54
Palwal,25.76
 North West    ,27.81
 North    ,13.62
 North East    ,26.78
 East    ,16.79
 New Delhi ,-20.72
 Central   ,-9.91
 West    ,19.46
 South West    ,30.65
 South   ,20.51
Ganganagar,10.04
Hanumangarh,16.91
Bikaner,24.28
Churu,20.25
Jhunjhunun,11.67
Alwar,22.82
Bharatpur,21.35
Dhaulpur,22.71
Karauli,20.93
Sawai Madhopur,19.56
Dausa,23.54
Jaipur,26.19
Sikar,17.03
Nagaur,19.20
Jodhpur,27.74
Jaisalmer,31.81
Barmer,32.52
Jalor,26.21
Sirohi,21.76
Pali,11.94
Ajmer,18.57
Tonk,17.30
Bundi,15.40
Bhilwara,19.18
Rajsamand,17.72
Dungarpur,25.36
Banswara,26.53
Chittaurgarh,16.08
Kota,24.37
Baran,19.71
Jhalawar,19.55
Udaipur,23.67
Pratapgarh,22.78
Saharanpur,19.66
Muzaffarnagar,16.94
Bijnor,17.60
Moradabad,25.22
Rampur,21.42
Jyotiba Phule Nagar ,22.76
Meerut,15.80
Baghpat,11.95
Ghaziabad,41.27
Gautam Buddha Nagar ,49.11
Bulandshahr,16.26
Aligarh,22.78
Mahamaya Nagar,17.12
Mathura,22.78
Agra,22.01
Firozabad,20.00
Mainpuri,17.02
Budaun,19.95
Bareilly,22.93
Pilibhit,17.53
Shahjahanpur,21.97
Kheri,25.38
Sitapur,23.88
Hardoi,20.44
Unnao,15.11
Lucknow,25.82
Rae Bareli,18.56
Farrukhabad,20.05
Kannauj,19.27
Etawah,18.15
Auraiya ,16.91
Kanpur Dehat,14.89
Kanpur Nagar,9.92
Jalaun,16.19
Jhansi,14.54
Lalitpur,24.94
Hamirpur,11.12
Mahoba ,15.50
Banda,19.83
Chitrakoot ,23.66
Fatehpur,14.05
Pratapgarh,17.50
Kaushambi ,23.81
Allahabad,20.60
Bara Banki,21.96
Faizabad,18.29
Ambedkar Nagar ,18.30
Sultanpur,18.11
Bahraich,29.10
Shrawasti ,30.54
Balrampur ,27.72
Gonda,24.17
Siddharthnagar,25.45
Basti,18.21
Sant Kabir Nagar ,20.77
Mahrajganj,23.50
Gorakhpur,17.81
Kushinagar ,23.27
Deoria,14.25
Azamgarh,17.11
Mau,18.92
Ballia,17.35
Jaunpur,14.89
Ghazipur,19.18
Chandauli ,18.83
Varanasi,17.15
Sant Ravidas Nagar (Bhadohi),16.58
